Date,SP Close,DAL Close,AAL Close,BLU Close,CCL Close,NCLH Close,RCL Close,MAR Close,HLT Close,PK Close,XOM Close,CVX Close,BP Close,DIS Close,NFLX Close,CNK Close,PG Close,JNJ Close,NSRGY Close,ZM Close,MSFT Close,LOGM Close,FB Close,TWTR Close,SNAP Close
1/2/2019,2510.030029,50.09,32.48,16.200001,49.849998,42.380001,97.790001,107.459999,70.940002,25.559999,69.690002,110.690002,38.59,108.970001,267.660004,36.889999,91.279999,127.75,80.169998,0,101.120003,81.800003,135.679993,28.809999,5.79
1/3/2019,2447.889893,45.610001,30.059999,15.93,47.369999,40.709999,92.550003,101.739998,67.300003,25.58,68.620003,108.57,38.810001,106.330002,271.200012,37.16,90.639999,125.720001,82.209999,0,97.400002,79.860001,131.740005,27.99,5.68
1/4/2019,2531.939941,47.790001,32.040001,16.549999,50.049999,43.029999,98.760002,107.809998,69.940002,26.27,71.150002,110.82,40.029999,109.610001,297.570007,38.09,92.489998,127.830002,83.589996,0,101.93,81.75,137.949997,29.950001,5.95
1/7/2019,2549.689941,47.849998,32.950001,16.690001,50.639999,43.709999,101.830002,108.010002,70.739998,26.719999,71.519997,112.260002,40.16,110.559998,315.339996,39.209999,92.120003,127.010002,82.709999,0,102.059998,83.510002,138.050003,31.34,6.21
1/8/2019,2574.409912,47.470001,32.419998,16.85,51.900002,45.029999,103.93,109.760002,71.860001,27.950001,72.040001,111.769997,40.029999,111.419998,320.269989,40.040001,92.459999,129.960007,82.970001,0,102.800003,85.989998,142.529999,31.799999,6.4
1/9/2019,2584.959961,48.470001,33.419998,17.23,51.990002,45.740002,104.360001,109.199997,71.040001,28.17,72.419998,113.269997,40.360001,112.669998,319.959991,39.25,90.949997,128.929993,83.739998,0,104.269997,86.040001,144.229996,32.25,6.28
1/10/2019,2596.639893,48.73,32.040001,17.15,52.290001,46.169998,104.900002,110.050003,72.07,28.48,72.050003,113.449997,40.700001,112.800003,324.660004,39.330002,91.169998,129.710007,84.389999,0,103.599998,85.75,144.199997,33.09,6.22
1/11/2019,2596.26001,48.560001,31.799999,17.25,52.400002,46.189999,106.419998,109.419998,71.889999,28.43,71.720001,112.540001,40.240002,112.650002,337.589996,39.650002,91.769997,129.75,84.510002,0,102.800003,86.699997,143.800003,32.869999,6.28
1/14/2019,2582.610107,47.75,31.709999,17.15,52.200001,45.540001,104.970001,108.129997,70.989998,28.25,71.629997,111.720001,40.419998,112.419998,332.940002,39.830002,91.150002,128.279999,84.43,0,102.050003,85.209999,145.389999,32.369999,6.31
1/15/2019,2610.300049,47.830002,32.099998,17.16,52.919998,46.029999,105.620003,110.18,72.5,28.450001,71.669998,112.120003,40.240002,111.760002,354.640015,39.900002,92.010002,129.360001,84.690002,0,105.010002,85.970001,148.949997,33.02,6.54
1/16/2019,2616.100098,47.5,32.84,17.35,52.73,45.849998,105.660004,109.279999,72.040001,28.959999,71.639999,111.400002,40.119999,110.910004,351.390015,39.950001,91.370003,128.039993,84.010002,0,105.379997,87.389999,147.539993,32.470001,5.64
1/17/2019,2635.959961,48.220001,33.580002,17.450001,53.540001,46.790001,107.040001,108.470001,72,28.59,72.129997,111.959999,40.130001,111.010002,353.190002,40.32,90.639999,129.089996,84.519997,0,106.120003,88.709999,148.300003,32.849998,5.74
1/18/2019,2670.709961,48.110001,33.970001,17.6,54.880001,47.529999,109.349998,109.050003,73.080002,28.700001,72.989998,114.370003,40.759998,111.040001,339.100006,40.919998,91.419998,130.690002,84.629997,0,107.709999,89.760002,150.039993,33.27,6.18
1/22/2019,2632.899902,47.099998,32.740002,17.370001,54.52,46.599998,108.629997,107.260002,71.010002,28.16,71.889999,112.339996,40.080002,110.599998,325.160004,39.560001,90.440002,128.800003,84.169998,0,105.68,88.989998,147.570007,32.25,5.93
1/23/2019,2638.699951,47.299999,31.65,17.24,54.27,46.720001,108.309998,108.089996,70.730003,28.040001,71.300003,111.389999,40.119999,111.120003,321.98999,39.919998,94.839996,128.800003,84.650002,0,106.709999,88.879997,144.300003,30.969999,5.99
1/24/2019,2642.330078,47.52,33.66,18.120001,55.02,46.990002,109.75,108.239998,71.059998,28.07,71.400002,113.510002,40.110001,110.550003,326.670013,39.959999,94.300003,127.029999,85.129997,0,106.199997,88.809998,145.830002,31.610001,6.17
1/25/2019,2664.76001,47.689999,34.98,17.709999,55.509998,47.93,111.739998,109.849998,71.760002,28.790001,71.720001,113.220001,40.110001,111.089996,338.049988,39.93,93.599998,128.229996,84.540001,0,107.169998,90.93,149.009995,32.900002,6.4
1/28/2019,2643.850098,48.009998,36.57,18.16,56.400002,48.369999,112.209999,110.529999,72.309998,29.049999,71.239998,112.169998,39.57,110.809998,335.660004,40.09,93.519997,128.990005,85.300003,0,105.080002,91.019997,147.470001,33.130001,6.34
1/29/2019,2640,48.220001,36.290001,18.120001,56.259998,48.720001,112.050003,111.120003,73.150002,29.33,71.510002,111.830002,40.200001,110.900002,328.899994,40.330002,93.540001,130.330002,86.75,0,102.940002,89.550003,144.190002,31.639999,6.43
1/30/2019,2681.050049,50.27,36.34,18.360001,57.43,50.849998,120.980003,113.639999,74.129997,29.75,72.290001,113.010002,40.669998,110.129997,340.660004,40.18,94.519997,131.639999,87.059998,0,106.379997,91.699997,150.419998,32.259998,6.57
1/31/2019,2704.100098,49.43,35.77,17.99,57.580002,51.43,120.050003,114.529999,74.480003,30.07,73.279999,114.650002,41.119999,111.519997,339.5,40.919998,96.470001,133.080002,87.239998,0,104.43,93.019997,166.690002,33.560001,6.68
2/1/2019,2706.530029,49.919998,36.110001,17.91,57.709999,51.470001,118.309998,114.57,74.419998,29.700001,75.919998,118.370003,41.34,111.300003,339.850006,39.200001,97.470001,134.199997,86.660004,0,102.779999,93.75,165.710007,33.189999,6.91
2/4/2019,2724.870117,50.34,36.779999,18,58.18,52.080002,119,115.650002,74.730003,30.17,74.82,119.739998,41.389999,111.800003,351.339996,39.419998,98.029999,132.880005,86.230003,0,105.739998,93.779999,169.25,33.939999,6.93
2/5/2019,2737.699951,50.540001,36.93,17.969999,58.560001,51.810001,118.220001,116.910004,74.620003,30.280001,75.589996,119.480003,42.82,112.660004,355.809998,39.799999,97.440002,132.880005,87.260002,0,107.220001,95.230003,171.160004,34.369999,7.04
2/6/2019,2731.610107,50.52,36.759998,18.139999,58.310001,52.619999,118.150002,117.269997,75.57,29.799999,75.260002,118.879997,43.040001,111.410004,352.190002,38.830002,97.919998,133,86.620003,0,106.029999,95.300003,170.490005,34.16,8.59
2/7/2019,2706.050049,50.41,36.169998,18.1,56.959999,51.349998,115.68,115.519997,74.68,29.860001,74.68,118.230003,42.700001,110.949997,344.709991,38.5,97.139999,132.050003,86.150002,0,105.269997,92.910004,166.380005,30.799999,8.57
2/8/2019,2707.879883,50.470001,36,18.139999,56.630001,51.310001,114.839996,115.480003,73.910004,29.48,73.980003,117.580002,42.490002,111.510002,347.570007,38.59,97.709999,132.399994,86.739998,0,105.669998,93.980003,167.330002,30.01,9.1
2/11/2019,2709.800049,50.610001,36.59,18.26,56.82,51.880001,116.099998,115.650002,74.400002,29.389999,74.099998,116.949997,42.209999,109.440002,345.730011,36.529999,98.269997,132,86.110001,0,105.25,94.209999,165.789993,30.23,8.99
